Date,Close,Open,RSV,ATR,MA7,MA14,MA21,Middle_Band,Upper_Band,Lower_Band,DIF,DEA,MACD
1991/1/4,2566.09,2575.99,14.5858,36.5305,2610.82,2614.3386,2610.6324,2610.644,2653.4147,2567.8733,11.4688,20.7145,-18.4913
1991/1/7,2522.77,2566.09,0.2028,37.0334,2594.4829,2609.2643,2606.4595,2606.6585,2664.7453,2548.5717,4.0626,17.3841,-26.643
1991/1/8,2509.41,2522.77,1.9625,36.4567,2577.8986,2603.2707,2602.0276,2602.624,2675.0037,2530.2443,-2.8521,13.3369,-32.3779
1991/1/9,2470.3,2509.41,1.6642,40.1112,2555.1971,2592.0971,2596.3229,2596.3,2689.8386,2502.7614,-11.3569,8.3981,-39.51
1991/1/10,2498.76,2470.3,17.9099,39.544,2535.9257,2582.9564,2591.6552,2591.931,2695.1315,2488.7306,-15.6205,3.5944,-38.4298
1991/1/11,2501.49,2498.76,19.4655,38.9473,2520.3329,2573.8157,2587.6243,2585.8915,2695.5494,2476.2336,-18.5652,-0.8375,-35.4553
1991/1/14,2483.91,2500.5,14.1723,39.2953,2507.5329,2563.1193,2581.0352,2579.369,2697.1172,2461.6208,-22.063,-5.0826,-33.9608
1991/1/15,2490.59,2483.91,21.2785,39.1407,2496.7471,2553.7836,2575.1414,2574.208,2698.1753,2450.2407,-24.0192,-8.8699,-30.2986
1991/1/16,2508.91,2490.59,40.2735,39.1563,2494.7671,2544.625,2571.0986,2569.9875,2696.927,2443.048,-23.8167,-11.8593,-23.9148
1991/1/17,2623.51,2508.91,100,46.3659,2511.0671,2544.4829,2572.5362,2569.8265,2696.4708,2443.1822,-14.2448,-12.3364,-3.8167
1991/1/18,2646.78,2623.51,96.3421,53.4147,2536.2786,2545.7379,2573.491,2570.829,2699.6683,2441.9897,-4.7267,-10.8145,12.1755
1991/1/21,2629.21,2646.78,87.3911,51.933,2554.9143,2545.42,2573.609,2570.8165,2699.6319,2442.0011,1.3827,-8.375,19.5154
1991/1/22,2603.22,2629.21,74.1505,50.6456,2569.4471,2544.89,2572.3595,2569.2945,2695.6799,2442.9091,4.0802,-5.884,19.9284
1991/1/23,2619.06,2603.47,82.2202,48.8138,2588.7543,2548.1436,2571.6643,2569.183,2695.379,2442.987,7.4108,-3.225,21.2716
1991/1/24,2643.07,2619.31,94.4521,49.0578,2610.5371,2553.6421,2572.7014,2569.48,2696.3754,2442.5846,11.8511,-0.2098,24.1218
1991/1/25,2659.41,2643.07,97.4784,48.7537,2632.0371,2563.4021,2573.7624,2571.1755,2702.0658,2440.2852,16.4984,3.1318,26.733
1991/1/28,2654.46,2657.43,88.8197,47.7998,2636.4586,2573.7629,2575.1414,2572.438,2706.142,2438.734,19.5565,6.4168,26.2795
1991/1/29,2662.62,2654.21,91.9978,46.242,2638.7214,2587.5,2576.7324,2573.886,2710.9664,2436.8056,22.3805,9.6095,25.542
1991/1/30,2713.12,2660.89,100,48.349,2650.7086,2602.8114,2580.5162,2579.01,2728.9346,2429.0854,28.3666,13.3609,30.0113
1991/1/31,2736.39,2713.12,100,50.3062,2669.7329,2619.59,2586.5043,2587.154,2752.7021,2421.6059,34.5895,17.6066,33.9657
1991/2/1,2730.69,2736.39,88.0803,49.7715,2685.68,2637.2171,2593.989,2595.384,2772.4855,2418.2825,38.6161,21.8085,33.6152
